Rk;Player;Pos;Age;Tm;g;mp_per_g;pts_per_g;trb_per_g;ast_per_g;stl_per_g;blk_per_g;fg_pct;fg3_pct;ft_pct;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Steven Adams\adamsst01;C;26;OKC;34;28.29411765;11.91176471;10.29411765;2.705882353;0.647058824;1.176470588;.610;.000;.558;34;962;169;277;.610;0;1;.000;169;276;.612;.610;67;120;.558;128;222;350;92;22;40;51;66;405
2;Bam Adebayo\adebaba01;C;22;MIA;36;34.44444444;15.63888889;10.63888889;4.472222222;1.333333333;1.222222222;.580;.111;.677;36;1240;213;367;.580;1;9;.111;212;358;.592;.582;136;201;.677;96;287;383;161;48;44;104;96;563
3;LaMarcus Aldridge\aldrila01;C;34;SAS;33;33;19.3030303;7.757575758;2.393939394;0.575757576;1.878787879;.509;.459;.851;33;1089;253;497;.509;34;74;.459;219;423;.518;.543;97;114;.851;71;185;256;79;19;62;44;78;637
4;Nickeil Alexander-Walker\alexani01;SG;21;NOP;28;12.71428571;5.535714286;2.142857143;1.714285714;0.321428571;0.142857143;.341;.345;.611;0;356;57;167;.341;30;87;.345;27;80;.338;.431;11;18;.611;4;56;60;48;9;4;27;33;155
5;Grayson Allen\allengr01;SG;24;MEM;23;16.86956522;7.782608696;2.217391304;1.347826087;0.217391304;0.043478261;.441;.387;.889;0;388;63;143;.441;29;75;.387;34;68;.500;.542;24;27;.889;3;48;51;31;5;1;20;32;179
6;Jarrett Allen\allenja01;C;21;BRK;36;26.58333333;11.55555556;9.805555556;1.25;0.722222222;1.333333333;.648;.000;.649;32;957;160;247;.648;0;3;.000;160;244;.656;.648;96;148;.649;119;234;353;45;26;48;42;89;416
7;Kadeem Allen\allenka01;SG;27;NYK;4;10.5;4.5;0.75;2;0.5;0;.389;.500;.333;0;42;7;18;.389;3;6;.500;4;12;.333;.472;1;3;.333;1;2;3;8;2;0;5;3;18
8;Al-Farouq Aminu\aminual01;PF;29;ORL;18;21.11111111;4.333333333;4.833333333;1.166666667;1;0.444444444;.291;.250;.655;2;380;25;86;.291;9;36;.250;16;50;.320;.343;19;29;.655;24;63;87;21;18;8;17;27;78
9;Justin Anderson\anderju01;G;26;BRK;1;2;2;0;0;0;0;1000;;;0;2;1;1;1.000;0;0;;1;1;1.000;1.000;0;0;;0;0;0;0;0;0;0;0;2
10;Kyle Anderson\anderky01;PF;26;MEM;32;17.34375;5;4.03125;2.28125;0.65625;0.4375;.457;.231;.634;2;555;64;140;.457;6;26;.231;58;114;.509;.479;26;41;.634;33;96;129;73;21;14;27;46;160
11;Ryan Anderson\anderry01;PF;31;HOU;2;7;2.5;3.5;1;0.5;0;.286;.200;;0;14;2;7;.286;1;5;.200;1;2;.500;.357;0;0;;0;7;7;2;1;0;1;1;5
12;Giannis Antetokounmpo\antetgi01;PF;25;MIL;35;30.97142857;30.22857143;12.8;5.571428571;1.257142857;1.142857143;.553;.326;.615;35;1084;390;705;.553;59;181;.326;331;524;.632;.595;219;356;.615;88;360;448;195;44;40;121;109;1058
13;Kostas Antetokounmpo\antetko01;PF;22;LAL;2;1.5;0;0.5;0;0;0;;;;0;3;0;0;;0;0;;0;0;;;0;0;;0;1;1;0;0;0;0;0;0
14;Thanasis Antetokounmpo\antetth01;SF;27;MIL;11;4.272727273;2;0.545454545;0.545454545;0.090909091;0.090909091;.563;.000;.500;0;47;9;16;.563;0;2;.000;9;14;.643;.563;4;8;.500;5;1;6;6;1;1;4;6;22
15;Carmelo Anthony\anthoca01;PF;35;POR;23;31.86956522;16.47826087;6.043478261;1.260869565;1.086956522;0.652173913;.435;.411;.812;23;733;143;329;.435;37;90;.411;106;239;.444;.491;56;69;.812;24;115;139;29;25;15;42;72;379
16;OG Anunoby\anunoog01;SF;22;TOR;36;29.80555556;10.86111111;5.861111111;1.611111111;1.055555556;0.75;.489;.360;.625;35;1073;156;319;.489;49;136;.360;107;183;.585;.566;30;48;.625;38;173;211;58;38;27;47;90;391
17;Ryan Arcidiacono\arcidry01;PG;25;CHI;34;15.02941176;4;1.705882353;1.529411765;0.411764706;0.058823529;.385;.406;.750;0;511;45;117;.385;28;69;.406;17;48;.354;.504;18;24;.750;14;44;58;52;14;2;18;55;136
